Customer shall not produce any of ODP Business Solutions proprietary and confidential information without ODP Business Solutions prior written consent.  ,,,,,,,,
"Upon notice to ODP Business Solutions of any request for its confidential information, Customer shall allow ODP Business Solutions to determine, in its sole discretion, ",,,,,,,,
"the relevant material to disclose, if any.  Customer shall assume all of ODP Business Solutions information provided to Customer is confidential. ",,,,,,,,
,,,,,,,,
 5/3 ,,,,,,,,
"Reporting Period: May 1, 2022 - May 1, 2023",,,,,,,,
Depot Product Code,Product Description,Wholesaler Product Code,Primary Supplier Id,Primary Supplier Name,Merch Dept,Pack Qty,UOM,Qty Sold
523959,"INK,HP 61XL,BLACK",CH563WN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
524022,"INK,HP 61XL,TRI-COLOR",CH564WN#140,3061,HP INC,14-Inkjet cartridges,1,EA,1
534054,"TONER,HP,657XC,LSRJET,YELLOW",CF472XC,419894,HP INC,65-Toners/other imaging,1,EA,23
535678,"RIBBON,VERIFONE 900R,6/BX,PE",11327,479663,IDENTITY GROUP,65-Toners/other imaging,6,BX,7
5356812,Cmpt Tnr Lexmark Black,200368P,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,6
536214,"CRTDG,LSR,DELL D2150B,BK",ELI75958,100,SP RICHARDS,65-Toners/other imaging,1,EA,1
537259,"TONER, CE390XG,BLACK",CE390XG,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
538514,"TONER,REPLACE,DELL,2150,CY",200657,460088,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,3
538807,COLOR LASERJET 220V FUSER KIT,2894313,7219,TD SYNNEX CORPORATION,14-Inkjet cartridges,1,EA,2
539167,HP fuser kit,HEWCE246A,100,SP RICHARDS,14-Inkjet cartridges,1,EA,30
539507,"TONER,HP M451 (CE410A),BLK",545-10A-HTI,709701,HOFFMAN TECHNOLOGIES INC,77-Military stores,1,EA,1
539543,"TONER,HP M451 (CE411A), CYAN",545-11A-HTI,709701,HOFFMAN TECHNOLOGIES INC,77-Military stores,1,EA,1
539588,"TONER,HP M451 (CE412A),YELLOW",545-12A-HTI,709701,HOFFMAN TECHNOLOGIES INC,77-Military stores,1,EA,1
539597,"TONER,HP M451 (CE413A),MAGENTA",545-13A-HTI,709701,HOFFMAN TECHNOLOGIES INC,77-Military stores,1,EA,1
5400482,"TONER,NEW MICR,M404,M428",MCMMICRTHN58A,100,SP RICHARDS,65-Toners/other imaging,1,EA,106
542355,"TONER,REPLACE HP CF212A,YL",ODM251Y,1005539,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,0
5474036,"INK,CARTRIDGE,HP,962XL,BLACK",3JA03AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,51
553571,TONER 26X BLACK HIGH YIELD,CF226X,3061,HP INC,14-Inkjet cartridges,1,EA,1
554270,"KIT,MAINTENANCE,LASERJET,110V",B3M77A,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,4
559283,"INK,T220,XL,MULTIPACK",T220XL-BCS,1351,EPSON AMERICA INC,14-Inkjet cartridges,1,EA,1
566375,"KIT,IMAGE TRANSFR,CLJ4700",HEWQ7504A,100,SP RICHARDS,65-Toners/other imaging,1,EA,2
567772,"TONER,HP,37YC,EHY,BLACK",CF237YC,419894,HP INC,65-Toners/other imaging,1,EA,85
570963,"TONER,REPLACE,DELL,2150,YL",200659,460088,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,2
572186,"TONER,LJ,507A,HP,YELLOW",CE402AG,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
5753919,"TONER,HP,414A,4 CLR,CMYK",HP414ASET-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,4,PK,5
577093,"INK,EPSON,T802520-S,MULTICLR",T802520-S,1351,EPSON AMERICA INC,14-Inkjet cartridges,1,EA,1
577484,"TONER,HP LJ 1320/TROY MICR",745-49M-ODP,418292,IMAGE PROJECTIONS WEST INC,65-Toners/other imaging,1,EA,150
580255,"CARTRIDGE,STAPLE,HP LJM2727",1925697,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,2
583839,"TONER,LJ CC364X,2/PK,BLACK",CC364XD,419894,HP INC,65-Toners/other imaging,2,PK,3
592754,"INK,EPSON,T702XL-BCS,CMYK",T702XL-BCS,1351,EPSON AMERICA INC,14-Inkjet cartridges,1,EA,5
593706,Toner MICR TROY HP 81A LJ M604,745-81A-ODP,416242,IMAGE PROJECTIONS WEST INC,65-Toners/other imaging,1,EA,1
604349,"TONER,STANDARD,BROTHER,BLACK",TN730,1614,BROTHER INTL CORP,65-Toners/other imaging,1,EA,5
606663,"TONER,HP CB541/2/3A,3PK,COLOR",CE259A,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,3,PK,2
616906,"CARTRIDGE,HP LASERJET 4200",Q1338A,419894,HP INC,65-Toners/other imaging,1,EA,5
619658,"CRTDG,DSNJ,HP727,GRY,300ML",F9J80A,3061,HP INC,14-Inkjet cartridges,1,EA,2
6210994,"TONER,HP,37A,BLACK,2 PK",CF237A2PK-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,9
6258488,"TONER,REPL,HP,655A,BLK",201094P,460088,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,1
628589,"BX,TONER,WST,30K",PR2722,8765,INGRAM MICRO INC,65-Toners/other imaging,12,EA,2
639073,"TONER,HP 652A,LASER JET,BLACK",CF320A,419894,HP INC,65-Toners/other imaging,1,EA,4
642434,"TONER,HP,CF412XC,YL",4432631,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,3
645578,LASERJET PRO SHEET FEEDER 550,4332213,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,1
646557,"TONER,LASERJET,HP90A,BLACK",CE390A,419894,HP INC,65-Toners/other imaging,1,EA,246
650988,RECYCLING LASER BOX,846517001,478980,CLOVER IMAGING GROUP LLC,14-Inkjet cartridges,1,EA,58
656229,"TONER,HP,657XC,LSRJET,MAGENTA",CF473XC,419894,HP INC,65-Toners/other imaging,1,EA,22
667932,"INK,HP,62XL,BLACK",C2P05AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,8
668139,"INK,HP,62XL,TRI-COLOR",C2P07AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,10
672267,"INK,HP,EXTRA HY,981Y,BLACK",L0R16A,3061,HP INC,14-Inkjet cartridges,1,EA,300
675732,"HP410A,TONER,YELLOW",CF412A,419894,HP INC,65-Toners/other imaging,1,EA,1
678757,"TONER,HP,LJCE255XC,BLACK",CE255XC,419894,HP INC,65-Toners/other imaging,1,EA,62
679882,HP 507X BLACK LJ TONER CRTRDGE,CE400X,419894,HP INC,65-Toners/other imaging,1,EA,39
680134,TONER HP 507A CYAN CRTRDGE,CE401A,419894,HP INC,65-Toners/other imaging,1,EA,51
680143,TONER HP 507A YELLOW  CRTRDG,CE402A,419894,HP INC,65-Toners/other imaging,1,EA,32
680206,TONER HP 507A MAGENTA CRTRD,CE403A,419894,HP INC,65-Toners/other imaging,1,EA,30
680303,"INKCART,CL-241,AST",CNMCL241,100,SP RICHARDS,14-Inkjet cartridges,1,EA,3
6803494,"TONER,CRTRDGE,HY,414X,HP,MGNTA",W2023X,419894,HP INC,65-Toners/other imaging,1,EA,1
6840301,"TONER,HP,212X,KCMY,4PK",HP212XSET-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
685257,"TONER,LJCE320A,BLACK",CE320A,419894,HP INC,65-Toners/other imaging,1,EA,2
685266,"TONER,LJ CE321A,CYAN",CE321A,419894,HP INC,65-Toners/other imaging,1,EA,2
685779,"TONER,HP4250,HY,BLK",CLPQ5942X,822390,COMPATIBLE LASER PRODUCTS INC,65-Toners/other imaging,1,EA,1
6867153,"TONER,HP,58A,BLACK,2 PK",CF258A2PK-OD,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
6916370,"TONER,508A,RMN,LJ,M553,CLR,CYN",545-F1A-ODP,418292,IMAGE PROJECTIONS WEST INC,65-Toners/other imaging,1,EA,3
695769,"TONER,BROTHER TN450,HY,BLACK",TN450EA,1614,BROTHER INTL CORP,65-Toners/other imaging,1,EA,1
699639,"TONER,REPLACE BRO TN350,BLACK",ODTN350,1005539,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,2
6999867,"TONER,CARTRIDGE,414A,HP,BLACK",W2020A,419894,HP INC,65-Toners/other imaging,1,EA,4
